,peakFreq,snr,amplitude,centralFreq,duration,bandwidth
0,93.079,4220.639,1.91e-20,3980.241,6.688,7940.48291
1,55.497,9.056,5.09e-23,58.074,1.4380000000000002,51.24794
2,115.113,272.164,9.989999999999997e-22,3980.241,3.5,7940.48291
3,32.173,10.714,1.9999999999999999e-22,35.009,1.75,39.428711
4,1636.34,21.453000000000007,2.16e-22,3915.311,0.152,7772.759765999999
5,49.208,16.319000000000006,1.11e-22,3986.677,0.625,7927.61084
6,26.685,7.8370000000000015,1.57e-22,3980.241,1.25,7940.48291
7,176.063,7.59,3.14e-23,2422.312,0.422,4637.601563
8,1038.311,33.04,2.64e-22,4073.139,0.953,7754.686523
9,60.857,8.839,4.76e-23,2751.077,0.5770000000000001,5430.596191
10,32.173,7.592,8.09e-23,39.058,0.078,31.33045
11,1023.363,10.214,8.43e-23,945.778,0.07,758.651978
12,93.079,27.454,1.2199999999999999e-22,161.43,0.625,276.07312
13,10.874,7.706,5.71e-20,11.333,2.0,2.66652
14,41.57,7.985,5.97e-23,41.827,0.625,25.792820000000006
15,19.885,8.738,2.9600000000000004e-21,53.298,2.25,76.00643199999998
16,47.298,10.908,9.77e-23,47.609,1.625,4.78511
17,39.789,14.224,1.13e-22,51.307,0.75,64.783051
18,2030.474,13.74,3.01e-22,4194.153,0.071,6395.61084
19,75.263,30.675,1.45e-22,3250.522,1.141,6463.213867
20,25.048,13.068,3.3e-22,377.335,1.0,716.838684
21,1843.488,8.283,1.06e-22,3262.936,0.243,5122.709473
